City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,guadalupe y calvo,26.1,-106.9667,4.29,52,0,2.2,MX,1682680087
213,derzhavinsk,51.1,66.3167,25.71,16,98,5.54,KZ,1682680087
214,erdenet,49.0333,104.0833,8.65,34,97,1.14,MN,1682680088
215,hillsborough,37.5741,-122.3794,16.12,90,20,5.14,US,1682680089
216,horodok,49.1637,26.5839,10.06,49,48,4.72,UA,1682680089
217,east london,-33.0153,27.9116,23.52,68,0,4.63,ZA,1682679862
218,mankivka,49.5923,38.4048,20.09,58,100,6.28,UA,1682680091
219,armacao de buzios,-22.7469,-41.8817,22.03,85,68,3.83,BR,1682680091
220,caleta de carquin,-11.0925,-77.6267,22.96,86,73,4.11,PE,1682680092
221,utrik,11.2278,169.8474,27.15,83,57,8.91,MH,1682680092
222,cu chi,10.9667,106.4667,29.01,54,99,5.71,VN,1682680093
223,itapecerica,-20.4725,-45.1256,19.69,86,28,1.0,BR,1682680094
224,leua,48.2156,18.6071,15.83,51,97,4.03,SK,1682680094
225,kodiak,57.79,-152.4072,1.73,69,20,1.54,US,1682680095
226,young,-32.6833,-57.6333,13.75,90,0,2.96,UY,1682679952
227,velingara,13.15,-14.1167,37.24,13,53,2.4,SN,1682680096
228,amos,48.5669,-78.1162,2.56,87,100,1.59,CA,1682680097
229,saurimo,-9.6608,20.3916,26.86,39,88,3.88,AO,1682680097
230,grassano,40.6346,16.2779,19.07,37,74,1.09,IT,1682680098
231,vorkuta,67.5,64.0,-5.75,86,100,6.84,RU,1682680099
232,kuraymah,18.55,31.85,37.33,6,46,5.62,SD,1682680100
233,lucapa,-8.4192,20.7447,27.7,42,90,3.1,AO,1682680100
234,staryy dobrotvir,50.2315,24.377,10.6,47,43,2.25,UA,1682680101
235,puerto san jose,13.9256,-90.8244,26.77,75,40,3.02,GT,1682680101
236,saint-pierre,-21.3393,55.4781,27.82,61,0,7.2,RE,1682680088
237,guarapari,-20.6667,-40.4975,24.94,85,6,2.89,BR,1682680102
238,urengoy,65.9667,78.3667,-2.51,93,100,11.8,RU,1682680104
239,taoudenni,22.6783,-3.9836,39.88,7,0,7.64,ML,1682680105
240,mudgee,-32.5943,149.5871,17.66,59,100,1.68,AU,1682680105
241,nouadhibou,20.931,-17.0347,23.99,60,7,8.23,MR,1682680106
242,lorengau,-2.0226,147.2712,27.53,78,93,1.16,PG,1682680107
243,praia,14.9215,-23.5087,27.3,54,20,6.17,CV,1682680107
244,ko pha ngan,9.7578,100.0291,26.86,75,98,5.36,TH,1682680108
245,pereira barreto,-20.6383,-51.1092,19.83,90,1,0.57,BR,1682680086
246,uthal,25.8072,66.6219,31.01,39,85,8.31,PK,1682680095
247,mersa matruh,31.3525,27.2453,19.29,54,34,7.81,EG,1682680110
248,dampit,-8.2116,112.7493,23.19,98,100,0.94,ID,1682680111
249,nacala,-14.5428,40.6728,29.62,65,75,5.66,MZ,1682679825
250,salekhard,66.53,66.6019,-2.82,78,100,3.23,RU,1682680112
251,bereznik,62.8551,42.7072,9.19,37,74,3.89,RU,1682680113
252,bikenibeu village,1.3673,173.1241,28.98,84,40,3.09,KI,1682680113
253,huarmey,-10.0681,-78.1522,23.76,86,91,3.26,PE,1682680114
254,fitzgerald,31.7149,-83.2526,18.99,94,100,0.0,US,1682680115
255,la punta,-33.1837,-66.3127,15.46,71,0,7.33,AR,1682680115
256,lata,40.1629,-8.3327,22.82,37,96,3.02,PT,1682680116
257,barclayville,4.6797,-8.2339,29.44,72,92,2.47,LR,1682680117
258,hammerfest,70.6634,23.6821,7.25,61,0,4.63,NO,1682680117
259,kruisfontein,-34.0033,24.7314,22.71,60,47,5.14,ZA,1682680118
260,bhadasar,28.2833,74.3167,35.84,15,19,3.98,IN,1682680118
261,gereida,11.2811,25.1414,34.79,30,98,2.54,SD,1682680119
262,mount holly,35.2982,-81.0159,17.45,98,75,2.06,US,1682680115
263,neya,58.2972,43.8681,15.13,63,89,2.68,RU,1682680121
264,anloga,5.7947,0.8973,28.44,74,100,4.22,GH,1682680121
265,bata,1.8639,9.7658,28.6,74,98,2.54,GQ,1682680122
266,salinas,36.6777,-121.6555,12.45,87,100,1.54,US,1682680122
267,gadzhiyevo,69.2551,33.3362,-0.09,79,3,8.96,RU,1682680123
268,uturoa,-16.7333,-151.4333,27.9,76,33,5.15,PF,1682680123
269,klaksvik,62.2266,-6.589,3.51,56,100,7.57,FO,1682680124
270,fort bragg,35.139,-79.006,18.44,96,100,3.09,US,1682680125
271,suining,30.508,105.5733,17.03,64,100,2.57,CN,1682680125
272,yeppoon,-23.1333,150.7333,21.88,76,96,5.43,AU,1682680126
273,irituia,-1.7711,-47.4381,24.26,94,84,0.62,BR,1682680127
274,kalmunai,7.4167,81.8167,29.2,72,79,3.7,LK,1682680127
275,enewetak,11.3474,162.3373,27.07,83,44,8.62,MH,1682680128
276,fuglafjordur,62.244,-6.814,3.26,56,100,7.02,FO,1682680128
277,sampit,-2.5333,112.95,24.99,94,100,1.25,ID,1682680129
278,santo domingo suchitepequez,14.4667,-91.4833,27.26,82,25,0.88,GT,1682680129
279,hithadhoo,-0.6,73.0833,28.88,73,100,4.14,MV,1682680130
280,paracuru,-3.41,-39.0306,26.73,80,42,2.36,BR,1682680131
281,antalaha,-14.9003,50.2788,29.23,58,15,7.4,MG,1682680131
282,nampula,-15.1165,39.2666,26.66,55,42,3.29,MZ,1682680132
283,skeldon,5.8833,-57.1333,24.28,94,99,1.81,GY,1682680132
284,pechory,57.8164,27.6119,10.26,37,48,2.15,RU,1682680133
285,padangsidempuan,1.3667,99.2667,24.19,97,100,1.06,ID,1682680133
286,hudson,40.7168,-74.0663,10.56,86,0,5.66,US,1682680134
287,saudarkrokur,65.7461,-19.6394,-0.47,55,7,3.56,IS,1682680135
288,khandyga,62.6667,135.6,-2.46,100,100,0.87,RU,1682680135
289,urangan,-25.3,152.9,21.22,83,74,5.83,AU,1682680136
290,banamba,13.55,-7.45,38.15,4,10,4.28,ML,1682680136
291,kenai,60.5544,-151.2583,2.03,88,100,3.09,US,1682680137
292,ndibene dahra,15.3338,-15.4766,37.78,13,0,6.84,SN,1682680139
293,ulan bator,47.9077,106.8832,7.07,24,40,6.0,MN,1682680140
294,chimore,-16.9833,-65.1333,22.18,96,98,0.18,BO,1682680141
